seed,alpha,gamma,epsilon,n_successes,n_successes_last_10_trials
1,0.5,0.3,0.5,68,8
1,0.5,0.3,0.6,59,4
1,0.5,0.3,0.7,44,8
1,0.5,0.3,0.8,37,4
1,0.5,0.3,0.9,27,3
1,0.5,0.3,1,27,2
1,0.5,0.4,0.1,93,9
1,0.5,0.4,0.2,89,7
1,0.5,0.4,0.3,86,9
1,0.5,0.4,0.4,68,7
1,0.5,0.4,0.5,55,2
1,0.5,0.4,0.6,53,4
1,0.5,0.4,0.7,40,1
1,0.5,0.4,0.8,35,6
1,0.5,0.4,0.9,30,2
1,0.5,0.4,1,22,2
1,0.5,0.5,0.1,89,10
1,0.5,0.5,0.2,87,10
1,0.5,0.5,0.3,83,9
1,0.5,0.5,0.4,70,8
1,0.5,0.5,0.5,64,7
1,0.5,0.5,0.6,51,5
1,0.5,0.5,0.7,51,6
1,0.5,0.5,0.8,31,2
1,0.5,0.5,0.9,24,4
1,0.5,0.5,1,21,5
1,0.5,0.6,0.1,83,8
1,0.5,0.6,0.2,81,10
1,0.5,0.6,0.3,89,8
1,0.5,0.6,0.4,68,6
1,0.5,0.6,0.5,60,6
1,0.5,0.6,0.6,62,9
1,0.5,0.6,0.7,43,5
1,0.5,0.6,0.8,30,2
1,0.5,0.6,0.9,22,1
1,0.5,0.6,1,27,7
1,0.5,0.7,0.1,83,7
1,0.5,0.7,0.2,82,10
1,0.5,0.7,0.3,73,6
1,0.5,0.7,0.4,61,6
1,0.5,0.7,0.5,49,7
1,0.5,0.7,0.6,53,4
1,0.5,0.7,0.7,46,5
1,0.5,0.7,0.8,34,3
1,0.5,0.7,0.9,26,3
1,0.5,0.7,1,21,3
1,0.5,0.8,0.1,54,7
1,0.5,0.8,0.2,80,8
1,0.5,0.8,0.3,67,5
1,0.5,0.8,0.4,70,8
1,0.5,0.8,0.5,63,6
1,0.5,0.8,0.6,48,5
1,0.5,0.8,0.7,38,2
1,0.5,0.8,0.8,37,7
1,0.5,0.8,0.9,31,1
1,0.5,0.8,1,17,2
1,0.5,0.9,0.1,81,8
1,0.5,0.9,0.2,83,9
1,0.5,0.9,0.3,62,4
1,0.5,0.9,0.4,66,7
1,0.5,0.9,0.5,61,10
1,0.5,0.9,0.6,45,7
1,0.5,0.9,0.7,44,6
1,0.5,0.9,0.8,26,4
1,0.5,0.9,0.9,26,3
1,0.5,0.9,1,23,3
1,0.5,1,0.1,65,8
1,0.5,1,0.2,60,6
1,0.5,1,0.3,62,4
1,0.5,1,0.4,51,5
1,0.5,1,0.5,45,5
1,0.5,1,0.6,35,2
1,0.5,1,0.7,37,4
1,0.5,1,0.8,30,2
1,0.5,1,0.9,25,1
1,0.5,1,1,21,0
1,0.6,0.1,0.1,92,10
1,0.6,0.1,0.2,87,8
1,0.6,0.1,0.3,88,9
1,0.6,0.1,0.4,76,8
1,0.6,0.1,0.5,62,6
1,0.6,0.1,0.6,54,4
1,0.6,0.1,0.7,47,5
1,0.6,0.1,0.8,34,3
1,0.6,0.1,0.9,30,1
1,0.6,0.1,1,27,2
1,0.6,0.2,0.1,88,10
1,0.6,0.2,0.2,91,10
1,0.6,0.2,0.3,76,9
1,0.6,0.2,0.4,74,10
1,0.6,0.2,0.5,64,6
1,0.6,0.2,0.6,57,5
1,0.6,0.2,0.7,40,3
1,0.6,0.2,0.8,41,3
1,0.6,0.2,0.9,23,4
1,0.6,0.2,1,10,2
1,0.6,0.3,0.1,96,10
1,0.6,0.3,0.2,90,9
1,0.6,0.3,0.3,85,8
1,0.6,0.3,0.4,73,7
1,0.6,0.3,0.5,63,7
1,0.6,0.3,0.6,59,6
1,0.6,0.3,0.7,43,2
1,0.6,0.3,0.8,40,8
1,0.6,0.3,0.9,25,2
1,0.6,0.3,1,21,2
1,0.6,0.4,0.1,94,10
1,0.6,0.4,0.2,92,10
1,0.6,0.4,0.3,78,7
1,0.6,0.4,0.4,84,9
1,0.6,0.4,0.5,64,7
1,0.6,0.4,0.6,58,5
1,0.6,0.4,0.7,43,2
1,0.6,0.4,0.8,39,4
1,0.6,0.4,0.9,31,3
1,0.6,0.4,1,19,2
1,0.6,0.5,0.1,90,9
1,0.6,0.5,0.2,90,9
1,0.6,0.5,0.3,83,9
1,0.6,0.5,0.4,74,7
1,0.6,0.5,0.5,70,9
1,0.6,0.5,0.6,47,5
1,0.6,0.5,0.7,37,3
1,0.6,0.5,0.8,34,5
1,0.6,0.5,0.9,33,5
1,0.6,0.5,1,21,1
1,0.6,0.6,0.1,88,9
1,0.6,0.6,0.2,86,8
1,0.6,0.6,0.3,75,6
1,0.6,0.6,0.4,69,8
1,0.6,0.6,0.5,65,5
1,0.6,0.6,0.6,53,7
1,0.6,0.6,0.7,44,5
1,0.6,0.6,0.8,32,3
1,0.6,0.6,0.9,22,4
1,0.6,0.6,1,14,1
1,0.6,0.7,0.1,90,10
1,0.6,0.7,0.2,79,8
1,0.6,0.7,0.3,67,9
1,0.6,0.7,0.4,59,8
1,0.6,0.7,0.5,70,7
1,0.6,0.7,0.6,53,7
1,0.6,0.7,0.7,38,1
1,0.6,0.7,0.8,39,6
1,0.6,0.7,0.9,33,1
1,0.6,0.7,1,17,2
1,0.6,0.8,0.1,81,5
1,0.6,0.8,0.2,78,10
1,0.6,0.8,0.3,70,7
1,0.6,0.8,0.4,68,8
1,0.6,0.8,0.5,59,4
1,0.6,0.8,0.6,53,6
1,0.6,0.8,0.7,50,5
1,0.6,0.8,0.8,40,4
1,0.6,0.8,0.9,29,2
1,0.6,0.8,1,27,3
1,0.6,0.9,0.1,79,9
1,0.6,0.9,0.2,71,9
1,0.6,0.9,0.3,63,4
1,0.6,0.9,0.4,64,7
1,0.6,0.9,0.5,52,5
1,0.6,0.9,0.6,44,5
1,0.6,0.9,0.7,38,5
1,0.6,0.9,0.8,37,5
1,0.6,0.9,0.9,29,1
1,0.6,0.9,1,23,3
1,0.6,1,0.1,58,7
1,0.6,1,0.2,38,2
1,0.6,1,0.3,56,8
1,0.6,1,0.4,48,5
1,0.6,1,0.5,50,6
1,0.6,1,0.6,49,5
1,0.6,1,0.7,36,3
1,0.6,1,0.8,32,4
1,0.6,1,0.9,28,1
1,0.6,1,1,20,1
1,0.7,0.1,0.1,96,9
1,0.7,0.1,0.2,95,10
1,0.7,0.1,0.3,85,10
1,0.7,0.1,0.4,81,7
1,0.7,0.1,0.5,70,5
1,0.7,0.1,0.6,64,8
1,0.7,0.1,0.7,51,5
1,0.7,0.1,0.8,36,3
1,0.7,0.1,0.9,31,1
1,0.7,0.1,1,22,1
1,0.7,0.2,0.1,91,10
1,0.7,0.2,0.2,85,9
1,0.7,0.2,0.3,78,9
1,0.7,0.2,0.4,81,7
1,0.7,0.2,0.5,71,9
1,0.7,0.2,0.6,53,4
1,0.7,0.2,0.7,49,7
1,0.7,0.2,0.8,26,5
1,0.7,0.2,0.9,22,2
1,0.7,0.2,1,19,3
1,0.7,0.3,0.1,85,9
1,0.7,0.3,0.2,85,8
1,0.7,0.3,0.3,83,10
1,0.7,0.3,0.4,73,6
1,0.7,0.3,0.5,75,8
1,0.7,0.3,0.6,65,7
1,0.7,0.3,0.7,44,5
1,0.7,0.3,0.8,38,3
1,0.7,0.3,0.9,29,2
1,0.7,0.3,1,19,2
1,0.7,0.4,0.1,88,10
1,0.7,0.4,0.2,84,7
1,0.7,0.4,0.3,74,7
1,0.7,0.4,0.4,81,8
1,0.7,0.4,0.5,73,5
1,0.7,0.4,0.6,57,8
1,0.7,0.4,0.7,37,3
1,0.7,0.4,0.8,37,5
1,0.7,0.4,0.9,26,3
1,0.7,0.4,1,20,3
1,0.7,0.5,0.1,87,8
1,0.7,0.5,0.2,88,8
1,0.7,0.5,0.3,88,9
1,0.7,0.5,0.4,72,9
1,0.7,0.5,0.5,72,8
1,0.7,0.5,0.6,58,6
1,0.7,0.5,0.7,39,5
1,0.7,0.5,0.8,42,6
1,0.7,0.5,0.9,22,5
1,0.7,0.5,1,21,1
1,0.7,0.6,0.1,92,9
1,0.7,0.6,0.2,95,10
1,0.7,0.6,0.3,73,8
1,0.7,0.6,0.4,75,9
1,0.7,0.6,0.5,59,9
1,0.7,0.6,0.6,49,8
1,0.7,0.6,0.7,46,3
1,0.7,0.6,0.8,34,2
1,0.7,0.6,0.9,23,1
1,0.7,0.6,1,15,1
1,0.7,0.7,0.1,78,10
1,0.7,0.7,0.2,85,9
1,0.7,0.7,0.3,78,10
1,0.7,0.7,0.4,70,5
1,0.7,0.7,0.5,57,6
1,0.7,0.7,0.6,48,5
1,0.7,0.7,0.7,36,2
1,0.7,0.7,0.8,36,4
1,0.7,0.7,0.9,27,2
1,0.7,0.7,1,23,2
1,0.7,0.8,0.1,69,8
1,0.7,0.8,0.2,69,8
1,0.7,0.8,0.3,65,8
1,0.7,0.8,0.4,61,6
1,0.7,0.8,0.5,51,5
1,0.7,0.8,0.6,52,8
1,0.7,0.8,0.7,44,4
1,0.7,0.8,0.8,34,2
1,0.7,0.8,0.9,40,4
1,0.7,0.8,1,22,1
1,0.7,0.9,0.1,75,8
1,0.7,0.9,0.2,63,7
1,0.7,0.9,0.3,54,5
1,0.7,0.9,0.4,49,3
1,0.7,0.9,0.5,48,4
1,0.7,0.9,0.6,47,3
1,0.7,0.9,0.7,38,3
1,0.7,0.9,0.8,36,4
1,0.7,0.9,0.9,27,3
1,0.7,0.9,1,28,4
1,0.7,1,0.1,51,2
1,0.7,1,0.2,40,8
1,0.7,1,0.3,45,6
1,0.7,1,0.4,53,3
1,0.7,1,0.5,40,6
1,0.7,1,0.6,34,2
1,0.7,1,0.7,24,6
1,0.7,1,0.8,25,4
1,0.7,1,0.9,25,4
1,0.7,1,1,20,2
1,0.8,0.1,0.1,86,10
1,0.8,0.1,0.2,92,10
1,0.8,0.1,0.3,86,7
1,0.8,0.1,0.4,77,8
1,0.8,0.1,0.5,72,6
1,0.8,0.1,0.6,62,8
1,0.8,0.1,0.7,46,4
1,0.8,0.1,0.8,31,4
1,0.8,0.1,0.9,37,6
1,0.8,0.1,1,23,4
1,0.8,0.2,0.1,96,10
1,0.8,0.2,0.2,89,10
1,0.8,0.2,0.3,80,5
1,0.8,0.2,0.4,73,7
1,0.8,0.2,0.5,62,9
1,0.8,0.2,0.6,61,6
1,0.8,0.2,0.7,46,3
1,0.8,0.2,0.8,37,2
1,0.8,0.2,0.9,17,2
1,0.8,0.2,1,14,0
1,0.8,0.3,0.1,92,10
1,0.8,0.3,0.2,84,9
1,0.8,0.3,0.3,83,8
1,0.8,0.3,0.4,76,8
1,0.8,0.3,0.5,64,8
1,0.8,0.3,0.6,43,6
1,0.8,0.3,0.7,49,3
1,0.8,0.3,0.8,39,4
1,0.8,0.3,0.9,35,4
1,0.8,0.3,1,19,1
1,0.8,0.4,0.1,88,9
1,0.8,0.4,0.2,92,9
1,0.8,0.4,0.3,78,9
1,0.8,0.4,0.4,75,8
1,0.8,0.4,0.5,65,4
1,0.8,0.4,0.6,59,8
1,0.8,0.4,0.7,54,8
1,0.8,0.4,0.8,32,4
1,0.8,0.4,0.9,27,4
1,0.8,0.4,1,21,3
1,0.8,0.5,0.1,85,10
1,0.8,0.5,0.2,85,7
1,0.8,0.5,0.3,76,5
1,0.8,0.5,0.4,71,6
1,0.8,0.5,0.5,66,9
1,0.8,0.5,0.6,57,7
1,0.8,0.5,0.7,52,6
1,0.8,0.5,0.8,37,1
1,0.8,0.5,0.9,29,5
1,0.8,0.5,1,26,0
1,0.8,0.6,0.1,83,8
1,0.8,0.6,0.2,87,8
1,0.8,0.6,0.3,80,7
1,0.8,0.6,0.4,67,7
1,0.8,0.6,0.5,50,4
1,0.8,0.6,0.6,58,6
1,0.8,0.6,0.7,36,5
1,0.8,0.6,0.8,41,1
1,0.8,0.6,0.9,27,4
1,0.8,0.6,1,19,2
1,0.8,0.7,0.1,81,10
1,0.8,0.7,0.2,82,9
1,0.8,0.7,0.3,75,8
1,0.8,0.7,0.4,64,6
1,0.8,0.7,0.5,57,8
1,0.8,0.7,0.6,48,5
1,0.8,0.7,0.7,45,6
1,0.8,0.7,0.8,34,2
1,0.8,0.7,0.9,26,2
1,0.8,0.7,1,23,2
1,0.8,0.8,0.1,83,6
1,0.8,0.8,0.2,71,9
1,0.8,0.8,0.3,62,7
1,0.8,0.8,0.4,55,6
1,0.8,0.8,0.5,54,5
1,0.8,0.8,0.6,49,6
1,0.8,0.8,0.7,47,6
1,0.8,0.8,0.8,24,1
1,0.8,0.8,0.9,32,2
1,0.8,0.8,1,18,3
1,0.8,0.9,0.1,57,9
1,0.8,0.9,0.2,65,6
1,0.8,0.9,0.3,50,6
1,0.8,0.9,0.4,47,1
1,0.8,0.9,0.5,33,4
